,,temp_daily_max,pressure_daily_max,humidity_daily_max,wind_speed_daily_max,rain_1h_daily_max,rain_3h_daily_max,snow_3h_daily_max,clouds_all_daily_max
2015-01-08,Bilbao,282.572,1042,97,1,0.0,0.0,0.0,76
2015-01-08,Madrid,283.599,1017,85,1,0.0,0.0,0.0,32
2015-01-08,Seville,287.22665625,1046,93,5,0.0,0.0,0.0,0
2015-01-08,Valencia,289.05,1040,96,6,0.0,0.0,0.0,68
2015-01-09,Barcelona,287.27,1039,72,2,0.0,0.0,0.0,5
2015-01-09,Bilbao,285.5656875,1042,97,1,0.0,0.0,0.0,58
2015-01-09,Madrid,285.1625,1042,96,1,0.0,0.0,0.0,0
2015-01-09,Seville,288.225,1048,93,4,0.0,0.0,0.0,0
2015-01-09,Valencia,290.95,1042,83,6,0.0,0.0,0.0,0
2015-01-10,Barcelona,290.36,1038,77,3,0.0,0.0,0.0,0
2015-01-10,Bilbao,286.599,1039,93,2,0.0,0.0,0.0,0
2015-01-10,Madrid,285.302,1042,96,2,0.0,0.0,0.0,0
2015-01-10,Seville,289.052,1047,91,4,0.0,0.0,0.0,12
2015-01-10,Valencia,294.85,1039,85,17,0.0,0.0,0.0,0
2015-01-11,Barcelona,291.25,1030,85,3,0.3,0.0,0.0,64
2015-01-11,Bilbao,281.672,1036,99,1,0.9,0.0,0.0,92
2015-01-11,Madrid,286.409,1001,86,4,0.0,0.0,0.0,68
2015-01-11,Seville,291.209,1039,90,4,0.0,0.0,0.0,64
2015-01-11,Valencia,293.95,1033,79,22,0.0,0.0,0.0,20
2015-01-12,Barcelona,288.75,1030,85,6,0.0,0.0,0.0,64
2015-01-12,Bilbao,284.072,1034,99,3,0.9,0.0,0.0,5
2015-01-12,Madrid,285.303,998,88,2,0.0,0.0,0.0,36
2015-01-12,Seville,291.053,1038,97,3,0.3,0.0,0.0,92
2015-01-12,Valencia,289.65,1035,94,4,0.0,0.0,0.0,92
2015-01-13,Barcelona,288.95,1025,82,7,0.0,0.0,0.0,92
2015-01-13,Bilbao,286.07934375,1023,82,4,0.3,0.0,0.0,84
2015-01-13,Madrid,285.597,967,91,3,0.0,0.0,0.0,36
2015-01-13,Seville,289.447,1035,89,3,0.0,0.0,0.0,76
2015-01-13,Valencia,292.35,1029,90,25,0.0,0.0,0.0,92
2015-01-14,Barcelona,289.56,1023,82,5,0.0,0.0,0.0,48
2015-01-14,Bilbao,284.0593125,1025,89,5,0.3,0.1,0.0,58
2015-01-14,Madrid,282.889,965,92,2,0.0,0.0,0.0,92
2015-01-14,Seville,291.1140000000001,1034,88,3,0.0,0.0,0.0,64
2015-01-14,Valencia,291.95,1026,84,12,0.0,0.0,0.0,24
2015-01-15,Barcelona,289.25,1020,91,6,0.0,0.0,0.0,13
2015-01-15,Bilbao,285.00034375,1016,94,5,0.9,0.0,0.0,92
2015-01-15,Madrid,283.182,1012,100,7,0.9,0.0,0.0,92
2015-01-15,Seville,289.893,1031,89,7,0.9,0.0,0.0,92
2015-01-15,Valencia,291.95,1024,78,20,0.0,0.0,0.0,60
2015-01-16,Barcelona,290.35,1011,90,5,0.3,0.0,0.0,92
2015-01-16,Bilbao,280.6826875,1019,96,3,3.0,0.0,0.0,92
2015-01-16,Madrid,281.19934375,1009,99,7,0.9,0.0,0.0,92
2015-01-16,Seville,286.4576875,1030,99,7,0.9,0.0,0.0,92
2015-01-16,Valencia,287.05,1018,68,30,0.0,0.0,0.0,76
2015-01-17,Barcelona,287.56,1017,70,5,0.3,0.0,0.0,44
2015-01-17,Bilbao,279.4016875,1022,94,2,3.0,0.0,0.0,92
2015-01-17,Madrid,280.558,963,93,3,0.0,0.0,0.0,32
2015-01-17,Seville,284.808,1035,95,3,0.0,0.0,0.0,36
2015-01-17,Valencia,286.75,1022,69,12,0.0,0.0,0.0,0
2015-01-18,Barcelona,286.45,1017,76,5,0.3,0.0,0.0,92
2015-01-18,Bilbao,281.97,1017,98,3,3.0,0.0,0.0,92
2015-01-18,Madrid,276.31,958,100,4,0.3,0.0,0.0,92
2015-01-18,Seville,284.856,1029,99,10,0.9,0.0,0.0,92
2015-01-18,Valencia,284.25,1021,91,9,0.3,0.0,0.0,92
2015-01-19,Barcelona,286.05,1008,93,6,3.0,0.0,0.0,92
2015-01-19,Bilbao,278.3886875,1014,98,4,3.0,0.0,0.0,92
2015-01-19,Madrid,278.82,1015,98,8,0.3,0.0,0.0,92
2015-01-19,Seville,284.095,1024,96,8,0.3,0.0,0.0,20
2015-01-19,Valencia,281.748,1011,95,9,0.3,0.0,0.0,92
2015-01-20,Barcelona,285.05,1006,73,3,0.3,0.0,0.0,92
2015-01-20,Bilbao,278.1883125,1013,97,2,0.9,0.1,0.625,92
2015-01-20,Madrid,279.868,981,91,3,0.0,0.0,0.0,88
2015-01-20,Seville,282.2990000000001,1024,100,3,0.9,0.0,0.0,92
2015-01-20,Valencia,283.05,1011,81,11,0.0,0.0,0.0,76
2015-01-21,Barcelona,284.86,1010,100,4,0.0,0.0,0.0,88
2015-01-21,Bilbao,278.5616875,1010,97,3,3.0,0.0,0.5,92
2015-01-21,Madrid,280.318,983,90,6,0.3,0.0,0.0,92
2015-01-21,Seville,285.563,1026,98,7,0.9,0.0,0.0,92
2015-01-21,Valencia,283.7920000000001,1010,84,14,0.0,0.0,0.0,88
2015-01-22,Barcelona,285.35,1011,60,7,0.3,0.0,0.0,76
2015-01-22,Bilbao,278.8353125,1021,97,3,3.0,0.0,2.7,92
2015-01-22,Madrid,281.356,988,89,7,0.3,0.0,0.0,80
2015-01-22,Seville,287.069,1030,91,6,0.0,0.0,0.0,0
2015-01-22,Valencia,284.75,1016,69,19,0.3,0.0,0.0,92
2015-01-23,Barcelona,289.75,1014,69,4,0.0,0.0,0.0,4
2015-01-23,Bilbao,279.37,1029,92,2,3.0,0.0,2.625,92
2015-01-23,Madrid,281.809,991,86,4,0.0,0.0,0.0,80
2015-01-23,Seville,287.322,1034,89,2,0.0,0.0,0.0,76
2015-01-23,Valencia,286.25,1020,69,9,0.0,0.0,0.0,0
2015-01-24,Barcelona,287.95,1017,71,4,0.0,0.0,0.0,12
2015-01-24,Bilbao,281.597,1033,96,2,0.3,0.0,0.0,92
2015-01-24,Madrid,282.091,967,75,3,0.0,0.0,0.0,0
2015-01-24,Seville,286.565,1036,90,6,0.0,0.0,0.0,34
2015-01-24,Valencia,288.75,1024,72,22,0.0,0.0,0.0,0
2015-01-25,Barcelona,288.26,1020,40,11,0.0,0.0,0.0,0
2015-01-25,Bilbao,278.7,1034,96,2,0.3,0.0,0.0,92
2015-01-25,Madrid,283.084,1007,82,4,0.0,0.0,0.0,0
2015-01-25,Seville,287.384,1036,85,6,0.0,0.0,0.0,0
2015-01-25,Valencia,289.65,1025,55,12,0.0,0.0,0.0,0
2015-01-26,Barcelona,284.85,1025,59,3,0.0,0.0,0.0,80
2015-01-26,Bilbao,280.282,1033,96,1,0.3,0.0,0.0,90
2015-01-26,Madrid,283.936,997,78,1,0.0,0.0,0.0,56
2015-01-26,Seville,289.148,1037,83,3,0.0,0.0,0.0,12
2015-01-26,Valencia,287.45,1027,77,8,0.0,0.0,0.0,36
2015-01-27,Barcelona,286.25,1025,67,2,0.0,0.0,0.0,80
2015-01-27,Bilbao,280.73834375,1032,97,2,0.9,0.0,0.0,92
2015-01-27,Madrid,285.192,1030,96,3,0.0,0.0,0.0,0
2015-01-27,Seville,289.443,1036,86,4,0.0,0.0,0.0,12
2015-01-27,Valencia,290.45,1027,95,11,0.0,0.0,0.0,92
2015-01-28,Barcelona,285.56,1019,79,3,0.3,0.0,0.0,56
2015-01-28,Bilbao,282.59765625,1030,95,3,0.9,0.1,0.0,92
2015-01-28,Madrid,284.98,1022,96,3,0.0,0.0,0.0,22
2015-01-28,Seville,289.505,1034,93,2,0.0,0.0,0.0,0
2015-01-28,Valencia,289.15,1023,81,9,0.0,0.0,0.0,8
2015-01-29,Barcelona,288.76,1016,84,8,12.0,0.0,0.0,80
2015-01-29,Bilbao,284.62065625,1019,95,6,0.9,0.0,0.0,92
2015-01-29,Madrid,284.755,1022,97,7,0.0,0.0,0.0,92
2015-01-29,Seville,289.353,1029,94,5,0.0,0.0,0.0,92
2015-01-29,Valencia,289.35,1019,88,30,0.0,0.0,0.0,64
2015-01-30,Barcelona,289.44,990,71,9,12.0,0.0,0.0,92
2015-01-30,Bilbao,283.60934375,1000,96,6,3.0,0.0,0.0,92
2015-01-30,Madrid,287.235,969,95,9,0.3,0.0,0.0,92
2015-01-30,Seville,289.735,1025,94,9,0.3,0.0,0.0,92
2015-01-30,Valencia,291.0795,998,75,64,0.0,0.0,0.0,8
2015-01-31,Barcelona,287.85,995,82,6,0.3,0.0,0.0,92
2015-01-31,Bilbao,281.3733125,1004,97,6,3.0,0.0,0.0,92
2015-01-31,Madrid,283.7290000000001,1007,95,9,0.9,0.0,0.0,92
2015-01-31,Seville,288.329,1023,92,10,0.3,0.0,0.0,92
2015-01-31,Valencia,288.85,1002,87,20,0.0,0.0,0.0,12
2015-02-01,Barcelona,285.57,1004,55,6,0.3,0.0,0.0,58
2015-02-01,Bilbao,277.34234375,1013,96,5,3.0,0.0,0.75,92
2015-02-01,Madrid,281.766,985,74,8,0.9,0.0,0.0,64
2015-02-01,Seville,287.241,1029,88,4,0.3,0.0,0.0,44
2015-02-01,Valencia,284.25,1014,60,17,0.0,0.0,0.0,12
2015-02-02,Barcelona,285.15,1009,61,6,12.0,0.0,0.0,42
2015-02-02,Bilbao,280.0526875,1012,97,2,3.0,0.0,0.75,92
2015-02-02,Madrid,279.599,1017,100,7,0.9,0.0,0.0,92
2015-02-02,Seville,287.499,1027,92,8,0.0,0.0,0.0,92
2015-02-02,Valencia,283.55,1014,72,19,0.0,0.0,0.0,92
2015-02-03,Barcelona,283.67965625,1000,91,6,12.0,0.0,0.0,92
2015-02-03,Bilbao,277.91365625,1005,99,4,3.0,0.0,7.25,92
2015-02-03,Madrid,281.005,1006,98,7,0.9,0.0,0.0,92
2015-02-03,Seville,287.273,1021,96,6,0.0,0.0,0.0,92
2015-02-03,Valencia,285.85,1002,77,16,0.0,0.0,0.0,76
2015-02-04,Barcelona,280.36,996,78,8,12.0,0.0,0.0,92
2015-02-04,Bilbao,275.25534375,1016,98,4,3.0,0.0,21.5,92
2015-02-04,Madrid,277.16700000000003,950,98,8,0.3,0.0,0.0,76
2015-02-04,Seville,284.39,1024,80,8,0.0,0.0,0.0,88
2015-02-04,Valencia,281.15,1004,83,25,0.3,0.0,1.125,92
2015-02-05,Barcelona,284.66,1003,90,5,0.3,0.0,0.0,92
2015-02-05,Bilbao,275.4666875,1019,97,4,0.9,0.0,21.5,92
2015-02-05,Madrid,277.703,986,81,8,0.0,0.0,0.0,92
2015-02-05,Seville,284.953,1029,71,5,0.0,0.0,0.0,50
2015-02-05,Valencia,282.75,1011,51,24,0.0,0.0,0.05,48
2015-02-06,Barcelona,283.25,1009,52,6,0.0,0.0,0.0,88
2015-02-06,Bilbao,274.4666875,1018,97,1,0.9,0.0,15.875,92
2015-02-06,Madrid,278.592,995,82,6,0.0,0.0,0.0,76
2015-02-06,Seville,284.771,1027,87,2,0.0,0.0,0.0,64
2015-02-06,Valencia,281.35,1013,57,20,0.0,0.0,0.0,20
2015-02-07,Barcelona,282.25,1020,50,3,0.3,0.0,0.0,76
2015-02-07,Bilbao,275.5836875,1028,97,1,0.3,0.0,8.5,90
2015-02-07,Madrid,279.582,991,79,3,0.0,0.0,0.0,80
2015-02-07,Seville,284.332,1026,96,4,0.3,0.0,0.0,64
2015-02-07,Valencia,281.55,1023,82,6,0.0,0.0,0.0,92
2015-02-08,Barcelona,283.16,1020,68,5,0.3,0.0,0.0,88
2015-02-08,Bilbao,277.72,1031,98,2,0.3,0.0,1.5,90
2015-02-08,Madrid,281.616,994,87,4,0.0,0.0,0.0,0
2015-02-08,Seville,285.816,1029,95,5,0.0,0.0,0.0,80
2015-02-08,Valencia,287.25,1023,89,14,0.0,0.0,0.0,0
2015-02-09,Barcelona,286.26,1025,64,6,12.0,0.0,0.0,0
2015-02-09,Bilbao,279.01234375,1031,96,2,0.3,0.0,0.25,89
2015-02-09,Madrid,283.75,983,79,5,0.0,0.0,0.0,68
2015-02-09,Seville,289.702,1027,87,5,0.0,0.0,0.0,20
2015-02-09,Valencia,282.95,1027,82,17,0.3,0.0,0.0,92
2015-02-10,Barcelona,286.36,1023,78,5,0.0,0.0,0.0,0
2015-02-10,Bilbao,281.78265625,1028,97,1,0.0,0.0,0.0,0
2015-02-10,Madrid,282.75,960,85,5,0.0,0.0,0.0,92
2015-02-10,Seville,285.136,1026,97,5,0.3,0.0,0.0,92
2015-02-10,Valencia,283.35,1027,92,8,0.3,0.0,0.0,92
2015-02-11,Barcelona,288.85,1021,82,4,0.0,0.0,0.0,36
2015-02-11,Bilbao,282.8640000000001,1022,98,1,0.0,0.0,0.0,40
2015-02-11,Madrid,283.534,960,93,4,0.3,0.0,0.0,92
2015-02-11,Seville,289.461,1026,100,3,0.9,0.0,0.0,92
2015-02-11,Valencia,282.25,1023,95,6,0.3,0.0,0.0,92
2015-02-12,Barcelona,287.85,1018,88,3,0.0,0.0,0.0,80
2015-02-12,Bilbao,283.248,1019,98,2,0.0,0.0,0.0,42
2015-02-12,Madrid,285.05,958,88,2,0.0,0.0,0.0,76
2015-02-12,Seville,288.318,1029,100,2,0.9,0.0,0.0,92
2015-02-12,Valencia,282.25,1023,94,3,0.9,0.0,0.0,92
2015-02-13,Barcelona,288.85,1018,82,7,0.0,0.0,0.0,92
2015-02-13,Bilbao,283.00465625,1019,96,3,0.3,0.0,0.0,92
2015-02-13,Madrid,286.25,981,95,6,0.0,0.0,0.0,92
2015-02-13,Seville,289.269,1033,99,3,0.0,0.0,0.0,88
2015-02-13,Valencia,288.45,1022,93,12,3.0,0.0,0.0,20
2015-02-14,Barcelona,288.25,1013,74,7,0.0,0.0,0.0,56
2015-02-14,Bilbao,281.05965625,1017,96,2,0.9,0.0,0.0,92
2015-02-14,Madrid,287.25,938,98,6,0.3,0.0,0.0,92
2015-02-14,Seville,289.26,1033,100,7,0.3,0.0,0.0,92
2015-02-14,Valencia,288.05,1017,73,22,0.0,0.0,0.0,80
2015-02-15,Barcelona,286.85,1011,81,6,0.0,0.0,0.0,80
2015-02-15,Bilbao,282.99934375,1017,98,2,3.0,0.0,0.0,92
2015-02-15,Madrid,285.841,1018,98,6,0.9,0.0,0.0,92
2015-02-15,Seville,289.741,1028,95,7,0.3,0.0,0.0,92
2015-02-15,Valencia,291.85,1013,74,17,0.0,0.0,0.0,80
2015-02-16,Barcelona,285.65,1015,82,3,0.0,0.0,0.0,76
2015-02-16,Bilbao,281.944,1023,98,4,3.0,0.0,0.0,92
2015-02-16,Madrid,288.45,1019,95,4,0.3,0.0,0.0,92
2015-02-16,Seville,289.546,1029,91,4,0.3,0.0,0.0,88
2015-02-16,Valencia,291.35,1018,91,19,0.0,0.0,0.0,92
2015-02-17,Barcelona,286.28834375,1026,60,10,0.0,0.0,0.0,92
2015-02-17,Bilbao,279.58334375,1038,94,4,3.0,0.0,0.0,92
2015-02-17,Madrid,285.45,1028,95,9,0.9,0.0,0.0,92
2015-02-17,Seville,287.03834375,1033,91,12,0.3,0.0,0.0,53
2015-02-17,Valencia,285.326,1029,95,8,0.3,0.0,0.0,92
2015-02-18,Barcelona,288.66,1035,100,7,0.0,0.0,0.0,32
2015-02-18,Bilbao,279.134,1037,94,2,0.9,0.0,0.0,92
2015-02-18,Madrid,284.55,990,86,6,0.0,0.0,0.0,76
2015-02-18,Seville,290.6620000000001,1033,70,8,0.0,0.0,0.0,48
2015-02-18,Valencia,285.55,1032,71,14,0.3,0.0,0.0,92
2015-02-19,Barcelona,286.46,1031,100,4,0.0,0.0,0.0,44
2015-02-19,Bilbao,283.516,1034,98,1,0.0,0.0,0.0,84
2015-02-19,Madrid,287.65,1021,86,2,0.0,0.0,0.0,24
2015-02-19,Seville,289.896,1034,80,5,0.0,0.0,0.0,0
2015-02-19,Valencia,283.35,1032,79,8,0.3,0.0,0.0,92
2015-02-20,Barcelona,286.96,102153,100,9,12.0,0.0,0.0,56
2015-02-20,Bilbao,281.457,1027,93,2,0.9,0.0,0.0,92
2015-02-20,Madrid,286.55,986,88,2,0.0,0.0,0.0,76
2015-02-20,Seville,289.197,1031,88,3,0.0,0.0,0.0,76
2015-02-20,Valencia,288.85,1032,92,14,0.0,0.0,0.0,56
2015-02-21,Barcelona,284.45,1008371,100,9,12.0,0.0,0.0,92
2015-02-21,Bilbao,279.8635,1013,98,4,3.0,0.0,0.0,92
2015-02-21,Madrid,285.93,932,100,7,0.3,0.0,0.0,92
2015-02-21,Seville,289.47,1023,97,5,0.3,0.0,0.0,92
2015-02-21,Valencia,288.45,1014,92,22,0.0,0.0,0.0,80
2015-02-22,Barcelona,286.55,1002881,94,8,12.0,0.0,0.0,20
2015-02-22,Bilbao,282.8643125,1016,95,4,3.0,0.0,0.0,92
2015-02-22,Madrid,288.17,1009,85,5,0.0,0.0,0.0,80
2015-02-22,Seville,289.611,1028,87,4,0.0,0.0,0.0,0
2015-02-22,Valencia,289.05,1014,65,22,0.0,0.0,0.0,12
2015-02-23,Barcelona,287.36,1007,79,4,0.9,0.0,0.0,92
2015-02-23,Bilbao,283.0486875,1014,97,4,0.9,0.0,0.0,92
2015-02-23,Madrid,287.58,1009,92,7,0.0,0.0,0.0,88
2015-02-23,Seville,289.944,1032,94,5,0.0,0.0,0.0,92
2015-02-23,Valencia,289.95,1014,66,43,0.0,0.0,0.0,88
2015-02-24,Barcelona,288.76,1017,88,13,0.9,0.0,0.0,92
2015-02-24,Bilbao,279.3405,1026,97,4,3.0,0.0,0.0,92
2015-02-24,Madrid,285.43,985,68,7,0.0,0.0,0.0,80
2015-02-24,Seville,289.464,1039,88,5,0.0,0.0,0.0,12
2015-02-24,Valencia,287.35,1023,62,25,0.0,0.0,0.0,48
2015-02-25,Barcelona,288.223,1021,92,8,0.0,0.0,0.0,88
2015-02-25,Bilbao,283.198,1027,97,5,3.0,0.0,0.0,92
2015-02-25,Madrid,286.331,997,80,6,0.0,0.0,0.0,92
2015-02-25,Seville,290.256,1040,86,3,0.0,0.0,0.0,0
2015-02-25,Valencia,290.306,1023,52,16,0.0,0.0,0.0,76
2015-02-26,Barcelona,286.946,1022,100,4,0.0,0.0,0.0,92
2015-02-26,Bilbao,283.306,1027,98,4,3.0,0.0,0.0,92
2015-02-26,Madrid,288.588,965,77,4,0.0,0.0,0.0,92
2015-02-26,Seville,294.272,1037,88,4,0.0,0.0,0.0,0
2015-02-26,Valencia,292.971,1004,62,7,0.0,0.0,0.0,92
2015-02-27,Barcelona,286.211,1021,95,4,0.9,0.0,0.0,90
2015-02-27,Bilbao,281.955,1027,97,4,3.0,0.0,0.0,92
2015-02-27,Madrid,284.97765625,1025,90,5,0.0,0.0,0.0,38
2015-02-27,Seville,292.511,1029,93,3,0.0,0.0,0.0,13
2015-02-27,Valencia,287.91365625,1022,68,7,0.0,0.0,0.0,92
2015-02-28,Barcelona,284.85,1024,100,4,0.0,0.0,0.0,88
2015-02-28,Bilbao,284.11165625,1026,97,1,0.9,0.0,0.0,92
2015-02-28,Madrid,289.15,963,89,4,0.0,0.0,0.0,64
2015-02-28,Seville,292.873,1033,87,3,0.0,0.0,0.0,68
2015-02-28,Valencia,292.063,1021,77,4,0.0,0.0,0.0,68
2015-03-01,Barcelona,289.75,1020,90,3,0.0,0.0,0.0,92
2015-03-01,Bilbao,286.65234375,1021,99,1,0.9,0.0,0.0,92
2015-03-01,Madrid,289.818,1024,92,4,0.0,0.0,0.0,36
2015-03-01,Seville,292.73,1034,90,2,0.0,0.0,0.0,0
2015-03-01,Valencia,295.719,1022,63,17,0.0,0.0,0.0,36
2015-03-02,Barcelona,291.35,1021,83,5,0.0,0.0,0.0,76
2015-03-02,Bilbao,285.097,1025,99,1,0.9,0.0,0.0,92
2015-03-02,Madrid,293.77,1018,95,3,0.0,0.0,0.0,92
2015-03-02,Seville,296.097,1033,91,3,0.0,0.0,0.0,0
2015-03-02,Valencia,295.5725,1022,61,6,0.0,0.0,0.0,80
2015-03-03,Barcelona,289.55,1023,90,4,0.0,0.0,0.0,56
2015-03-03,Bilbao,283.40034375,1029,99,1,0.9,0.0,0.0,92
2015-03-03,Madrid,291.56,1018,97,2,0.0,0.0,0.0,92
2015-03-03,Seville,296.328,1032,94,3,0.0,0.0,0.0,8
2015-03-03,Valencia,292.05,1023,69,3,0.0,0.0,0.0,88
2015-03-04,Barcelona,286.86,1028,93,6,3.0,0.0,0.0,92
2015-03-04,Bilbao,280.8325,1039,99,2,0.9,0.0,0.0,92
2015-03-04,Madrid,288.44,1035,100,9,0.0,0.0,0.0,20
2015-03-04,Seville,296.59,1032,100,5,0.0,0.0,0.0,90
2015-03-04,Valencia,291.35,1032,93,12,0.0,0.0,0.0,90
2015-03-05,Barcelona,291.91,1029,60,9,12.0,0.0,0.0,20
2015-03-05,Bilbao,281.45334375,1040,90,2,0.9,0.1,0.0,92
2015-03-05,Madrid,287.94,1035,80,7,0.0,0.0,0.0,0
2015-03-05,Seville,293.23,1030,64,12,0.0,0.0,0.0,0
2015-03-05,Valencia,292.21,1033,49,7,0.0,0.0,0.0,0
2015-03-06,Barcelona,287.8,1032,78,6,12.0,0.0,0.0,10
2015-03-06,Bilbao,286.23834375,1038,96,1,0.0,0.0,0.0,0
2015-03-06,Madrid,291.18,1031,75,3,0.0,0.0,0.0,0
2015-03-06,Seville,295.14,1028,48,8,0.0,0.0,0.0,0
2015-03-06,Valencia,288.838,1032,75,5,0.0,0.0,0.0,0
2015-03-07,Barcelona,289.83,1031,87,6,0.0,0.0,0.0,34
2015-03-07,Bilbao,290.92434375,1030,96,1,0.0,0.0,0.0,13
2015-03-07,Madrid,294.27,1031,81,2,0.0,0.0,0.0,0
2015-03-07,Seville,295.8,1028,73,4,0.0,0.0,0.0,0
2015-03-07,Valencia,294.994,1031,86,4,0.0,0.0,0.0,0
2015-03-08,Barcelona,288.82,1026,87,4,0.0,0.0,0.0,32
2015-03-08,Bilbao,289.20034375,1028,96,1,0.0,0.0,0.0,0
2015-03-08,Madrid,295.26,1026,77,3,0.0,0.0,0.0,5
2015-03-08,Seville,297.5,1024,70,3,0.0,0.0,0.0,4
2015-03-08,Valencia,288.12,1026,90,2,0.0,0.0,0.0,75
2015-03-09,Barcelona,290.64,1025,87,6,0.0,0.0,0.0,52
2015-03-09,Bilbao,289.6403125,1027,90,1,0.0,0.0,0.0,25
2015-03-09,Madrid,294.95,1025,78,3,0.0,0.0,0.0,0
2015-03-09,Seville,296.81,1024,87,3,0.0,0.0,0.0,0
2015-03-09,Valencia,291.9495,1025,87,3,0.0,0.0,0.0,20
2015-03-10,Barcelona,287.621,1026,90,5,0.0,0.0,0.0,20
2015-03-10,Bilbao,289.58134375,1027,95,1,0.0,0.0,0.0,28
2015-03-10,Madrid,292.36465625,1026,79,2,0.0,0.0,0.0,0
2015-03-10,Seville,297.305,1025,100,2,0.0,0.0,0.0,40
2015-03-10,Valencia,293.5146875,1026,86,2,0.0,0.0,0.0,0
2015-03-11,Barcelona,293.3,1027,100,5,0.0,0.0,0.0,44
2015-03-11,Bilbao,288.7290000000001,1027,98,1,0.0,0.0,0.0,44
2015-03-11,Madrid,294.15,1025,86,1,0.0,0.0,0.0,8
2015-03-11,Seville,299.15,1034,90,3,0.0,0.0,0.0,0
2015-03-11,Valencia,295.372,1024,87,3,0.0,0.0,0.0,24
2015-03-12,Barcelona,288.27534375,1022,88,6,0.0,0.01,0.0,20
2015-03-12,Bilbao,288.955,1026,98,2,0.3,0.0,0.0,60
2015-03-12,Madrid,292.00465625,1024,82,2,0.0,0.0,0.0,8
2015-03-12,Seville,296.02134375,1023,99,5,0.0,0.0,0.0,0
2015-03-12,Valencia,296.99634375,1023,74,2,0.0,0.0,0.0,5
2015-03-13,Barcelona,286.496,1022,87,5,0.3,0.045,0.0,44
2015-03-13,Bilbao,281.6566875,1028,97,3,0.9,0.0,0.0,92
2015-03-13,Madrid,288.35165625,1023,79,6,0.0,0.0,0.0,52
2015-03-13,Seville,292.1436875,1021,97,3,0.3,0.045,0.0,62
2015-03-13,Valencia,290.70165625,1022,96,2,0.0,0.09,0.0,57
2015-03-14,Barcelona,284.8986875,1020,83,7,0.9,0.0,0.0,92
2015-03-14,Bilbao,279.517,1027,97,3,3.0,0.0,0.0,92
2015-03-14,Madrid,284.58134375,1025,87,4,0.0,0.0,0.0,26
2015-03-14,Seville,292.3563125,1020,98,4,0.3,0.0,0.0,0
2015-03-14,Valencia,286.773,1022,93,3,0.9,0.08,0.0,88
2015-03-15,Barcelona,284.1413125,1018,78,3,0.9,0.015,0.0,76
2015-03-15,Bilbao,278.858,1023,96,2,3.0,0.0,0.0,92
